城市,类型,店名,点评,人均,口味,环境,服务,,,,,,
天津,川菜,鱼酷活鱼现烤(红桥欧亚达店)分店,2241,89,9.1,9,9,,,,,,
杭州,创意菜,舍逸艺术餐厅(城西银泰店),2237,105,8,9.1,8.1,,,,,,
大连,大连海鲜,苏大嘴海鲜牧场(北石道街店)分店,2215,149,9.2,9.2,9.1,,,,,,
广州,面包甜点,COCO TOO西餐&水果茶(珠江新城分...,2194,69,8.3,9,8.4,,,,,,
上海,东南亚菜,泰小伙曼谷夜市火锅(金桥国际广...,2170,126,8.9,8.8,9,,,,,,
成都,火锅,蜀中吴养生板栗鸡(环球中心店)分店,2130,74,8.3,8.6,8.4,,,,,,
广州,粥粉面,大椰一粉(乐峰广场店)分店,2105,33,7.2,7.4,7.1,,,,,,
杭州,日本料理,御牛道日式料理炭火烤肉(中山中...分店,2102,180,9.1,8.9,8.9,,,,,,
佛山,韩国料理,妙香居韩国料理(鹏瑞利季华广场...,2097,63,8.3,8.4,8,,,,,,
沈阳,烧烤,韩都·黑牛的店(万象汇店)分店,2096,124,8.8,9,8.5,,,,,,
深圳,川菜,炉鱼(卓悦汇店),2087,69,7.5,8.1,7.9,,,,,,
佛山,粤菜,热点·北京烤鸭小笼包专门店(保...,2065,59,8.3,8.6,8.7,,,,,,
南京,面包甜点,猫山王榴莲甜品MusangKing(猫叔...分店,2033,32,8.9,8.9,8.8,,,,,,
上海,韩国料理,古宫炭(大华第一坊店)分店,2000,108,8.7,8.6,8.7,,,,,,
广州,西餐,尊宝比萨(名门店)分店,1944,40,8.5,7.5,8.2,,,,,,
无锡,自助餐,亚马逊牛排自助餐厅(东方巴黎店),1916,66,7.2,7.4,7.3,,,,,,
南京,烤鱼,蜀江烤鱼(建邺万达店)分店,1905,90,6.7,7.1,6.9,,,,,,
北京,火锅,芦月轩羊蝎子(西三旗店)分店,1901,71,8.9,8.3,8.1,,,,,,
杭州,川菜,汝拉小镇焰鱼码头餐厅(福堤店)分店,1779,81,7.7,8.8,7.9,,,,,,
北京,湘菜,望湘楼(川湘野味道),1767,70,7.6,7.2,7.3,,,,,,
重庆,自助餐,上井(龙湖·西城天街店)分店,1762,256,8.3,9,8.6,,,,,,
北京,台湾菜,东都台员(亦庄店),1757,61,8.5,8.3,8.4,,,,,,
长沙,烧烤,汉拿山(长沙开福万达店)分店,1738,84,7.6,8,7.4,,,,,,
深圳,江浙菜,茶语餐厅(沙井京基百纳广场店),1725,51,7.8,8.4,8,,,,,,
杭州,粤菜,香港新记茶餐厅(古墩店)分店,1694,51,7.7,8.4,7.8,,,,,,
武汉,火锅,凯威食享家(建设大道汉口店)分店,1661,62,7.3,7.4,7.1,,,,,,
天津,小吃快餐,大圆碗(小白楼店)分店,1649,31,8.1,7.7,7.6,,,,,,
苏州,苏州江浙,新梅华·四季厨房(四季厨房)分店,1637,84,8.5,8.1,7.9,,,,,,
深圳,川菜,麻辣派对(益田假日广场店)分店,1616,79,7.7,7.7,7.6,,,,,,
上海,云南菜,_南·云彩泥-勐巴拉娜西(百联世...分店,1611,99,8.2,8.2,8.2,,,,,,
南京,火锅,佰人王串串香火锅(淮海路店)分店,1600,67,8.7,8.3,8,,,,,,
南京,南京/江浙菜,民国往事,1594,91,7.7,9,8,,,,,,
上海,火锅,周渝食惦酸菜鱼(松江新城店)分店,1575,82,9.1,9,8.8,,,,,,
广州,日本料理,猫鲜生寿司料理(江南西店)分店,1562,73,8.1,8.7,8.6,,,,,,
北京,西餐,TIAGO SELECT(西单大悦城店)分店,1540,194,8.7,8.9,9,,,,,,
上海,自助餐,金狮蓝蒂海鲜自助餐厅,1533,104,7.7,8.1,7.6,,,,,,
成都,烧烤,滋滋烤鱼(盐市口店)分店,1533,72,8.1,7.9,7.7,,,,,,
北京,川菜,淘虾记(劲松店)分店,1511,104,8,7.7,7.8,,,,,,
宁波,川菜,川味人家(鄞州店)分店,1505,57,8.6,8.1,8,,,,,,
上海,烧烤,Bigger80's瓜哥海鲜烤吧(亲水花...,1492,117,8.7,9,8.6,,,,,,
北京,咖啡厅,1901 Cafe(西四店),1481,69,7.5,8.6,7.8,,,,,,
大连,川菜,水一方现烤鱿鱼丝鱿鱼头鱿鱼片(...分店,1474,56,9.2,9.1,9.1,,,,,,
石家庄,日本料理,松本楼日式烧肉,1469,191,7.7,8.2,8,,,,,,
上海,西餐,Bistro Burger,1461,101,8.3,8.2,7.9,,,,,,
上海,东南亚菜,Andaman安达曼(虹桥天地店)分店,1457,105,8.5,8.4,8.5,,,,,,
天津,海鲜,集贤佰悦海鲜酒楼,1453,132,7.8,9,8.1,,,,,,
上海,面包甜点,Godiva(新天地)分店,1453,75,8.4,8.4,7.9,,,,,,
成都,面包甜点,早安巴黎(万达锦华店)分店,1453,29,7.7,7.7,7.4,,,,,,
上海,粤菜,甜蜜蜜港式茶餐厅(七宝巴春店)分店,1448,52,7.5,7.3,7.5,,,,,,
成都,火锅,锦城印象火锅酒楼(高新店)分店,1445,101,8.8,8.5,8.5,,,,,,
上海,日本菜,大馥 · 炭火烧肉屋(梅川路店)分店,1429,150,8.9,8.5,8.7,,,,,,
上海,西餐,Charles Kitchen分店,1417,257,8.8,8.8,9.1,,,,,,
上海,日本菜,日葵 大阪烧(仙霞路店)分店,1416,106,8.8,8.3,8.1,,,,,,
武汉,火锅,玉林串串香(司门口店)分店,1370,60,8.9,8.5,8.7,,,,,,
北京,小吃快餐,船歌鱼水饺(凯德mall大峡谷店)分店,1370,77,8.8,8.9,8.9,,,,,,
哈尔滨,小吃快餐,商委红肠,1365,129,8.5,7.2,7.1,,,,,,
南京,粤菜,骐记香港茶餐厅(玉桥商业广场店)分店,1347,60,7.4,7.6,7.5,,,,,,
成都,烧烤,何师烧烤(东门形象店)分店,1346,77,7.6,7.7,7.6,,,,,,
上海,粤菜,富临轩(梅龙镇广场店)分店,1345,189,9,8.9,8.9,,,,,,
上海,粤菜,潮州府砂锅粥(金虹桥广场店)分店,1342,125,8.2,8.1,7.9,,,,,,
北京,北京菜,红莲烤鸭店(红莲北里店)分店,1320,72,7,6.4,6.2,,,,,,
广州,日本料理,万岁寿司(从化欣荣宏店)分店,1303,77,8,8.3,7.7,,,,,,
上海,其他,鼓浪屿的风Amoy Restaurant,1298,29,7.6,7.3,7.7,,,,,,
广州,茶餐厅,老港茶餐厅(海印又一城店),1298,45,7.6,7.8,7.6,,,,,,
成都,面包甜点,早安巴黎(新世纪环球中心店)分店,1298,29,8.2,8.1,7.7,,,,,,
沈阳,西餐,豪客来牛排(沈阳中街店)分店,1282,55,8.3,8.7,8.6,,,,,,
上海,本帮江浙菜,聚荟摩登江浙沪(96广场店)分店,1278,144,8.4,8.4,8.1,,,,,,
沈阳,粤菜,小鹅皇港式餐厅,1275,71,8.4,9.1,8.7,,,,,,
上海,烧烤,澜海音乐烧烤餐厅(浦三路店)分店,1273,97,7.7,8.7,8.1,,,,,,
南京,西餐,几分牛(茂业店)分店,1268,57,8.5,9,9,,,,,,
北京,湘菜,酷湘—正统湘菜,1265,92,9.1,9.1,9.1,,,,,,
广州,湘菜,佬湘楼(都市广场店)分店,1260,68,7.4,7.6,7.4,,,,,,
广州,粤菜,大岗仙庙烧鸡(客村店),1251,53,7.7,6.4,6.1,,,,,,
北京,贵州菜,集天味道(安贞店)分店,1245,53,7.6,7.4,7.3,,,,,,
北京,新疆菜,大漠楼兰新疆美食(牡丹园店)分店,1242,62,9,9.1,9.2,,,,,,
上海,面包甜点,50岚(百脑汇店)分店,1231,13,8.2,8.2,8.5,,,,,,
上海,火锅,鼎尊锅物料理分店,1224,105,9.1,8.9,9.1,,,,,,
广州,自助餐,外商大酒店美华阁餐厅,1207,132,8,8.7,8.6,,,,,,
深圳,其他,赣芸轩(华润万象城店),1206,93,7.8,8.1,7.9,,,,,,
北京,小吃快餐,碳花烤羊腿(北新桥三条店)分店,1203,93,8.1,6.8,7.2,,,,,,
北京,其他,西部马华牛肉面(学院路店)分店,1187,36,8.5,8.5,7.7,,,,,,
南京,川菜,旺鱼烤鱼餐厅(花园城购物中心店)分店,1175,74,8.1,8.2,8.2,,,,,,
杭州,创意菜,阿瓦山寨主题餐厅(滨江星光大道...,1166,64,7.1,7.2,7,,,,,,
上海,小吃快餐,心___分店,1163,49,7.8,7.8,7.4,,,,,,
南京,小吃快餐,汉堡王(南京新一城店)分店,1152,35,8.5,8.7,8.4,,,,,,
宁波,自助餐,华侨豪生西餐厅,1142,240,8.2,8.9,8.7,,,,,,
无锡,面馆,状元府捞面(三阳地铁店),1141,30,7.7,8.1,8,,,,,,
深圳,湘菜,味人民服务分店,1137,65,8.3,8.3,8.2,,,,,,
武汉,日本料理,芙蓉咔滋 Katsu House(群星城店),1128,67,7.7,8.1,8.3,,,,,,
温州,粤菜,香港小厨茶餐厅,1118,63,8,7.7,8,,,,,,
北京,北京菜,我家春饼(龙湖大兴天街店),1098,44,8,8.2,7.6,,,,,,
天津,小吃快餐,CHI辣辣精致新疆米粉,1097,43,8.2,9,9.1,,,,,,
广州,西餐,赛百味(乐峰广场店)分店,1086,27,8.5,8.2,7.9,,,,,,
武汉,日本料理,井_日膳(汉阳人信汇店)分店,1083,60,8.4,8.3,8.1,,,,,,
成都,日本料理,花里寿司(伊藤洋华堂店),1079,72,6.9,7.2,7.3,,,,,,
无锡,川菜,蓉李记成都名小吃(滨湖万达店),1063,28,7.1,7.2,7,,,,,,
上海,面包甜点,多乐之日(汇阳广场店)分店,1038,42,8.7,8.8,8.3,,,,,,
北京,海鲜,顺天旺大连海鲜饺子馆(车公庄总...分店,1036,66,7.6,6.7,6.8,,,,,,
上海,面包甜点,红宝石(长海路店)分店,1034,31,8.5,8.2,7.9,,,,,,
武汉,小吃快餐,精武路第一家(总店)分店,1033,41,8.3,7.7,7.7,,,,,,
沈阳,海鲜,689炸鸡海鲜码面(西塔店)分店,1015,77,8.6,9,8.8,,,,,,
北京,云南菜,山茶云南菜(中关村店)分店,1003,70,8.9,8.8,8.5,,,,,,
南京,日本料理,糊世刺身(文昌巷总店)分店,1000,95,9,8.2,8.8,,,,,,
青岛,韩国料理,很上火韩国料理烤猪排店,993,68,9.2,8.8,9,,,,,,
济南,北京菜,小城故事(优品汇奥特莱斯店)分店,992,37,8,8.2,7.8,,,,,,
南京,火锅,豆捞坊(虹悦城店)分店,987,114,8.1,8.3,7.9,,,,,,
武汉,烧烤,尚槿韩式烤肉(泛海城市广场店)分店,980,65,8.2,8.7,8.4,,,,,,
北京,烧烤,韩时烤肉(新世界店)分店,974,86,9.1,9.1,9.2,,,,,,
上海,西餐,阿根廷庄园OBELISCO,973,258,8.4,9.1,8.8,,,,,,
上海,咖啡厅,Maancoffee漫咖啡(证大喜玛拉雅...,967,51,7.8,8.4,7.7,,,,,,
武汉,湖北菜,顺香餐厅,936,63,7,7.5,6.9,,,,,,
福州,韩国料理,百加百炭火烤肉专门店,936,89,8.7,8.7,8.5,,,,,,
天津,韩国料理,美阿里(茂名道店),918,54,8,7.5,7.6,,,,,,
深圳,东南亚菜,小印度尼泊尔餐厅(购物公园店)分店,917,82,7.6,7.6,7.9,,,,,,
深圳,面包甜点,幸福西饼生日蛋糕(前海店)分店,917,45,7.7,7.8,7.6,,,,,,
济南,西餐,必胜客(联荷广场PB5055)分店,914,68,8.6,8.8,8.2,,,,,,
沈阳,烧烤,新罗食代木炭烤肉分店,904,69,9.1,9.1,8.9,,,,,,
杭州,火锅,澳门豆捞(南山店)分店,903,149,7.4,7.4,7.4,,,,,,
武汉,东南亚菜,印度玛咖(群星城店)分店,900,76,7.5,7.8,7.8,,,,,,
北京,北京菜,府膳(回龙观店),894,86,8.6,8.8,8.4,,,,,,
深圳,川菜,探炉烤鱼(莱蒙店)分店,884,70,8.5,8.7,8,,,,,,
深圳,西餐,大拇指牛扒馆,884,81,7.3,7.5,7.5,,,,,,
北京,创意菜,绿盒子蒸饺(世界城店)分店,884,40,7.6,7.5,7.4,,,,,,
广州,川菜,城中·_音乐餐酒馆广告,881,104,7.7,9,8,,,,,,
杭州,小吃快餐,遵义虾子张六羊肉粉广告,878,24,8.7,8.6,8.7,,,,,,
北京,西餐,Fire Works美式烤肉西餐&酒吧(北...分店,872,129,8.5,8.6,8.5,,,,,,
长沙,湘菜,炊烟时代(星沙店)分店,871,48,7.7,7.6,7.7,,,,,,
济南,自助餐,济南鲁能贵和洲际酒店自助餐厅,864,165,7.4,8.7,8.2,,,,,,
宁波,面包甜点,四云奶盖贡茶(世纪东方广场店)分店,861,19,8.3,8.4,8.3,,,,,,
武汉,面包甜点,满记甜品(汉街步行街店)分店,854,34,8.5,8.5,8.3,,,,,,
济南,韩国料理,obba kitchen韩式炸鸡(宽厚里总...分店,853,35,8,8.3,8.2,,,,,,
济南,烧烤,龙都烤肉海鲜自助餐厅,853,47,8,8.3,8,,,,,,
上海,东南亚菜,Bumbu｜奔步印尼餐厅(555商厦南...,846,97,8.3,8.3,9,,,,,,
深圳,日本料理,荞上人活_日本料理,840,223,8.2,8.5,8.1,,,,,,
无锡,火锅,重庆地瓜老火锅,830,101,8.5,8.7,8.4,,,,,,
上海,小吃快餐,小杨生煎(上海火车站北广场)分店,827,23,8,7.8,7.9,,,,,,
西安,粤菜,威哥真味港式餐厅(南门金花店)分店,822,75,8.2,8.4,8.1,,,,,,
济南,川菜,九月天(省体店)分店,822,59,7.4,7.6,7.2,,,,,,
广州,粤菜,海门鱼仔店(花城宾馆店),819,99,8.2,8.4,7.4,,,,,,
北京,粤菜,香港九道港式茶餐厅(中粮万科长...分店,819,67,7.8,8.5,8.2,,,,,,
成都,日本料理,佳咖喱JACURRY,817,47,8.2,8.1,9,,,,,,
成都,小吃快餐,小名堂担担甜水面(红星路店)分店,812,16,8.1,7.6,7.8,,,,,,
沈阳,朝韩料理,玛喜达韩国年糕料理(太原街中兴...,809,33,8.3,8.5,8.4,,,,,,
广州,火锅,汤响自助回转火锅百汇(乐峰广场...分店,802,50,7,7.1,7.2,,,,,,
深圳,小吃快餐,蒙自源过桥米线(布吉老街店),790,20,7.6,7.8,7.6,,,,,,
深圳,新疆菜,巴依的小羊歌舞餐厅(九方购物中...,788,91,6.9,7.8,7.3,,,,,,
上海,粤菜,御宝至尊烤鸭店(虹桥天地店),786,368,8.8,9.1,9.1,,,,,,
北京,面包甜点,宇治茶铺(来福士店),773,22,7.2,7.2,7.4,,,,,,
合肥,烧烤,汉釜宫韩式烤肉自助餐厅(宝业东...,772,39,7.8,8,7.8,,,,,,
沈阳,小吃快餐,吉野家(中街店)分店,768,25,7.3,7.2,7,,,,,,
沈阳,朝韩料理,金家烤鳗鱼分店,764,150,9.2,6.8,8.5,,,,,,
成都,面包甜点,一糖一会(阳光新业中心店)分店,763,36,8,8.4,8.2,,,,,,
北京,粉面馆,十七城重庆小面(五道口店),761,25,7.2,7.1,6.8,,,,,,
西安,面包甜点,丁大房,759,24,7.6,7.3,7.6,,,,,,
天津,西餐,外滩风尚(复康路店)分店,753,81,7.5,8.2,7.4,,,,,,
北京,韩国料理,犟牛家·榴莲烤肉(欧美汇店)分店,751,87,8.3,7.9,8.1,,,,,,
青岛,川菜,川香麻辣香锅,750,42,8.6,8.3,8.2,,,,,,
大连,韩国料理,东儿冷面(黄河路店)分店,745,71,7.4,7.4,7.4,,,,,,
中山,火锅,小龙坎老火锅(南下店),743,96,7.9,9,8.5,,,,,,
杭州,杭帮/江浙菜,绿茶青年中餐厅,743,61,7.7,8.5,8.4,,,,,,
苏州,西餐,VELLUTO意大利餐厅(李公堤店)广告,736,318,8.1,9,8.9,,,,,,
苏州,面包甜点,桂源铺(新光天地店),735,17,8.1,8.2,8.2,,,,,,
北京,韩国料理,大田家烤肉,735,105,9.1,9.1,9.1,,,,,,
成都,日本料理,兄弟船刺身(西安北路店)分店,733,83,8.5,8.6,8.7,,,,,,
常州,小吃快餐,忘不了(西夏墅店)分店,732,16,8.3,8.3,8.3,,,,,,
南昌,自助餐,牛太郎时尚自助烧烤,731,55,8,8.2,7.9,,,,,,
厦门,西餐,Clovers创意披萨连锁店(SM二期购...,729,82,7.5,8.3,7.4,,,,,,
西安,小吃快餐,滋啦啦上海生煎(大唐西市店)分店,728,20,7.5,7.6,7.5,,,,,,
南京,韩国料理,Aza Aza！芝心年糕料理(荔枝广场...分店,728,72,7.7,8.9,8.4,,,,,,
上海,小龙虾,阿虎龙虾(南码头店),726,175,8.5,7.4,7.7,,,,,,
大连,日本料理,胜代日本料理(人民路店),726,82,9,8.9,9,,,,,,
苏州,面包甜点,Godiva(观前街)分店,724,49,8.7,8.6,8.2,,,,,,
深圳,日本料理,面匠_味道·日式拉面(海岸城店),720,52,7.3,8,8.2,,,,,,
广州,小吃,遇见小面(保利中环广场店)分店,717,30,7.9,7.7,8,,,,,,
苏州,西餐,必胜客(湖东时代店)分店,711,73,8.1,8.4,7.9,,,,,,
沈阳,小吃快餐,吉野家(乐购店)分店,710,29,7.3,7.3,7.3,,,,,,
苏州,面包甜点,食之秘(中茵百盛店)分店,707,52,8.1,8.1,7.9,,,,,,
厦门,面包甜点,李布兰格烘焙(厦大西村)分店,701,24,8.2,8.4,8,,,,,,
上海,韩国料理,喜来稀肉(百联徐汇商业广场店)分店,697,100,8.7,8.4,8.4,,,,,,
南京,小吃快餐,山之巅云南过桥米线,694,19,8.5,6.8,7.6,,,,,,
北京,海鲜,海之旅海鲜烤肉自助(BHGMall店),689,71,7.1,7.7,7.7,,,,,,
西安,小吃快餐,小六汤包(万科生活广场店)分店,688,43,8.4,8.2,8,,,,,,
济南,火锅,重庆小天鹅(花园路店)分店,683,72,7.7,7.2,7.1,,,,,,
上海,海鲜,随缘蒸汽海鲜坊,682,128,8.2,8.3,8.7,,,,,,
苏州,苏州江浙,老苏州大客堂·特色小吃(山塘街...分店广告,681,69,7.8,8.6,7.9,,,,,,
广州,日本料理,赤木寿司(五羊新城店)分店,678,71,8.7,8.1,8.1,,,,,,
青岛,海鲜,振宇啤酒屋(海鲜加工一店),675,98,9.1,8,8.8,,,,,,
重庆,自助餐,鹤桥自助烤肉(财信城市国际店),674,62,8.2,8.3,8.3,,,,,,
南昌,赣菜,佐佑时尚经典餐厅(莲塘店)分店,674,57,7.7,7.7,7.7,,,,,,
合肥,面包甜点,詹记宫廷桃酥王(淮河路店)分店,674,15,8.1,7.3,7.3,,,,,,
成都,海鲜,U33猎潜艇牛排海鲜自助(龙湖三千...分店,673,74,7,7.3,7.4,,,,,,
福州,面包甜点,贡茶·漾漾好(世欧店)分店,671,18,8,8.1,8,,,,,,
深圳,面包甜点,贡茶(深圳北站店),666,16,7.8,8.1,8,,,,,,
上海,本帮江浙菜,农家乐,665,80,7.9,7.6,7.5,,,,,,
武汉,川菜,锦庐(群光广场店)分店,664,73,7.5,8.2,7.5,,,,,,
长春,川菜,巴渔人家,661,50,7.9,7.7,7.5,,,,,,
上海,台湾菜,市长快炒100,659,79,9,8.2,8.7,,,,,,
天津,其他,宝莱纳里士满西餐酒吧,658,174,8,8.7,7.9,,,,,,
佛山,火锅,探鱼(吉之岛店),656,68,8.4,8.6,8,,,,,,
哈尔滨,西餐,胡椒厨房(凯德广场学府店)分店,654,50,8.8,8.6,8.7,,,,,,
北京,粉面馆,马兰拉面(化工大学分店)分店,646,25,7.3,7.4,7.1,,,,,,
深圳,日本料理,大桥日本料理(科兴科学园店),645,284,7.2,8.3,7.3,,,,,,
宁波,自助餐,宁波柏悦酒店-悦轩餐厅,643,289,8.5,9.3,9.1,,,,,,
苏州,创意菜,百盛·鱼小漾(新区店)分店,638,66,8.5,9,8.8,,,,,,
武汉,小吃快餐,周黑鸭(武一店)分店,633,28,9,8.7,8.5,,,,,,
广州,小吃,三个辣椒牛肉粉(海珠丽影广场店)分店,632,33,7.3,7.7,7.3,,,,,,
宁波,自助餐,鄞州天港禧悦酒店浩全日餐厅,631,196,8.3,8.5,8.5,,,,,,
宁波,日本料理,鱼旨寿司(环球银泰城店),628,71,8.1,8.2,8.2,,,,,,
常州,其他,果碳烤鸭(机电店),628,12,8.5,8.4,8.6,,,,,,
杭州,创意菜,顾家肉蟹煲(运河上街购物中心店),625,72,7.3,7.5,7.4,,,,,,
重庆,东南亚菜,暹丽泰食LiLAWADEE,623,134,8.7,9.2,9.1,,,,,,
无锡,其他,金滏山海鲜自助烤肉,617,50,8.4,8.4,8.6,,,,,,
上海,湘菜,许爷剁椒鱼头(宛平南路店)分店,617,122,8.6,8.4,8.2,,,,,,
武汉,西餐,豪客来牛排(武汉大学店-2016)分店,612,59,7.9,8.2,8.5,,,,,,
北京,粤菜,德宏记·港式餐厅,611,78,8,8.8,7.8,,,,,,
西安,小吃快餐,宽塘·蛙哥虾妹(阳光天地店)分店,609,77,7.6,8.1,7.8,,,,,,
济南,川菜,桃花洛音乐餐厅,608,100,7.5,9.1,7.8,,,,,,
武汉,火锅,四川乐山开心麻辣烫,606,53,8.5,7.7,8.1,,,,,,
深圳,其他,黄记煌三汁焖锅(莲塘店),604,89,7.4,7.3,7.3,,,,,,
北京,贵州菜,贵州家乡菜,603,87,8.2,7.2,7.3,,,,,,
上海,面包甜点,珍得巧克力剧院,602,155,8.3,8.6,8.3,,,,,,
广州,火锅,乙古香牛牛火锅,596,88,8.3,7.7,7.7,,,,,,
青岛,咖啡厅,Sweet sea甜蜜海洋意法餐厅,594,199,8.7,9.1,8.9,,,,,,
南京,南京/江浙菜,顺乐土菜馆,594,57,9.1,8.3,9,,,,,,
广州,咖啡厅,LOCK CHUCK COFFEE,593,48,8.2,8.7,9,,,,,,
